Mode,Concurrency,Avg_TTFT_Sec,Avg_Prefill_Sec,Avg_Decode_Sec,Avg_Queue_Sec,Throughput_Tokens_Per_Sec,Total_Completed_Requests
Chunked prefill,10,0.2327,0.1853,0.042809719,0.0097,308.802,237.5839
Chunked prefill,20,6.4522,0.3234,0.048753633,6.0537,350.1275,262.7517
Chunked prefill,30,16.1566,0.2846,0.046427462,15.7661,378.1577,275.8389
Chunked prefill,40,25.8767,0.2866,0.046597524,25.1176,370.0101,274.8322
Chunked prefill,50,34.636,0.2843,0.044635513,33.2932,382.9564,286.9128
Continuous,10,0.3184,0.2549,0.051502527,0.0061,333.2718,248.6577
Continuous,20,6.7532,0.6993,0.047115268,5.9863,362.0839,271.8121
Continuous,30,16.6703,0.703,0.047115268,15.7745,367.3758,271.8121
Continuous,40,26.5464,0.7027,0.047290416,25.6342,357.7886,270.8054
Continuous,50,35.5652,0.6854,0.045270903,33.7248,372.594,282.8859
